scoringTime,totalScore,meetStartup,mentorStartup,nominateNextRound,overallFeedback,judgeId,startupId,roundId,teamSection_rawAverage,teamSection_percentageScore,teamSection_weightedScore,teamSection_maxPoints,teamSection_feedback,teamSection_isSkipped,teamSection_individualScores_leadership,teamSection_individualScores_experience,teamSection_totalPossibleQuestions,teamSection_answeredQuestions,rawFormData_teamSection_scores_leadership,rawFormData_teamSection_scores_experience,rawFormData_teamSection_feedback,rawFormData_teamSection_isSkipped
2024-11-15T04:24:53.269544Z,61,False,False,False,Demonstrating significant market potential,537543,850443,997079,3.0,77,34,40,Strong leadership team,False,3.0,3.5,2,2,3.0,3.5,Strong leadership team,False
2024-11-18T04:24:53.269627Z,65,False,True,False,Demonstrating significant market potential,312580,445590,111315,3.6,99,33,40,Promising team with growth potential,False,3.1,3.0,2,2,3.1,3.0,Promising team with growth potential,False
2024-11-18T04:24:53.269654Z,74,False,False,False,Strong potential with innovative solution,712668,662102,569583,3.5,63,30,40,Strong leadership team,False,4.5,4.7,2,2,4.5,4.7,Strong leadership team,False
2024-12-11T04:24:53.269674Z,71,False,False,False,Demonstrating significant market potential,520194,166780,515463,4.9,61,35,40,Strong leadership team,False,3.7,3.6,2,2,3.7,3.6,Strong leadership team,False
2024-11-22T04:24:53.269695Z,66,True,False,False,Promising startup with clear vision,177872,808007,796352,3.5,100,22,40,Promising team with growth potential,False,4.6,4.4,2,2,4.6,4.4,Promising team with growth potential,False
2024-11-27T04:24:53.269713Z,69,False,False,False,Strong potential with innovative solution,281201,968167,362656,4.5,86,22,40,Experienced and innovative group,False,4.3,3.8,2,2,4.3,3.8,Experienced and innovative group,False
2024-12-04T04:24:53.269732Z,75,True,False,False,Promising startup with clear vision,569693,991213,315710,3.1,65,32,40,Solid team with diverse skills,False,4.1,3.9,2,2,4.1,3.9,Solid team with diverse skills,False
2024-11-29T04:24:53.269751Z,80,True,False,False,Promising startup with clear vision,356715,519068,616915,4.6,66,25,40,Promising team with growth potential,False,4.8,4.8,2,2,4.8,4.8,Promising team with growth potential,False
2024-12-04T04:24:53.269770Z,81,True,False,True,Strong potential with innovative solution,160195,163625,770333,4.2,79,29,40,Solid team with diverse skills,False,3.2,3.8,2,2,3.2,3.8,Solid team with diverse skills,False
2024-12-08T04:24:53.269789Z,60,True,True,False,Innovative approach with solid execution,947745,821512,202719,3.1,77,29,40,Solid team with diverse skills,False,3.9,4.6,2,2,3.9,4.6,Solid team with diverse skills,False
2024-12-03T04:24:53.269806Z,92,False,True,True,Promising startup with clear vision,562274,896903,995953,3.1,90,20,40,Promising team with growth potential,False,4.9,4.2,2,2,4.9,4.2,Promising team with growth potential,False
2024-11-27T04:24:53.269823Z,61,True,True,False,Promising startup with clear vision,548040,408245,879073,3.8,82,27,40,Strong leadership team,False,3.1,4.8,2,2,3.1,4.8,Strong leadership team,False
2024-11-26T04:24:53.269841Z,76,False,False,False,Strong potential with innovative solution,760212,260980,954311,4.9,64,22,40,Strong leadership team,False,5.0,3.7,2,2,5.0,3.7,Strong leadership team,False
2024-12-04T04:24:53.269858Z,82,False,False,True,Demonstrating significant market potential,936879,944647,115988,3.5,99,28,40,Solid team with diverse skills,False,4.5,4.6,2,2,4.5,4.6,Solid team with diverse skills,False
2024-12-10T04:24:53.269875Z,92,True,False,True,Innovative approach with solid execution,748311,477284,805946,4.8,92,29,40,Solid team with diverse skills,False,4.4,3.3,2,2,4.4,3.3,Solid team with diverse skills,False
2024-11-17T04:24:53.269892Z,68,False,False,False,Demonstrating significant market potential,210809,501126,100713,4.9,73,24,40,Experienced and innovative group,False,4.7,4.3,2,2,4.7,4.3,Experienced and innovative group,False
2024-11-29T04:24:53.269912Z,95,True,False,True,Innovative approach with solid execution,122584,237274,982273,4.0,74,27,40,Strong leadership team,False,3.1,3.2,2,2,3.1,3.2,Strong leadership team,False
2024-12-10T04:24:53.269928Z,80,False,True,False,Demonstrating significant market potential,422058,442789,372584,3.2,64,24,40,Solid team with diverse skills,False,5.0,4.3,2,2,5.0,4.3,Solid team with diverse skills,False
2024-12-01T04:24:53.269945Z,77,False,False,False,Demonstrating significant market potential,809226,444512,575909,3.2,70,35,40,Promising team with growth potential,False,4.6,3.9,2,2,4.6,3.9,Promising team with growth potential,False
2024-11-19T04:24:53.269962Z,75,True,False,False,Innovative approach with solid execution,650103,494936,565114,4.0,94,33,40,Strong leadership team,False,4.4,4.2,2,2,4.4,4.2,Strong leadership team,False
2024-12-11T04:24:53.269979Z,88,False,True,True,Demonstrating significant market potential,547821,416268,841520,4.5,77,35,40,Experienced and innovative group,False,4.7,4.1,2,2,4.7,4.1,Experienced and innovative group,False
2024-11-13T04:24:53.269996Z,79,False,False,False,Strong potential with innovative solution,343699,519442,349965,4.1,66,22,40,Solid team with diverse skills,False,4.9,4.7,2,2,4.9,4.7,Solid team with diverse skills,False
2024-11-15T04:24:53.270022Z,68,False,False,False,Strong potential with innovative solution,228120,958005,756493,5.0,72,26,40,Promising team with growth potential,False,4.5,4.8,2,2,4.5,4.8,Promising team with growth potential,False
2024-11-23T04:24:53.270039Z,92,False,False,True,Promising startup with clear vision,635688,862487,328128,4.0,61,27,40,Strong leadership team,False,4.3,4.1,2,2,4.3,4.1,Strong leadership team,False
2024-11-23T04:24:53.270055Z,92,False,False,True,Promising startup with clear vision,368817,406156,452244,3.2,60,29,40,Strong leadership team,False,4.4,4.6,2,2,4.4,4.6,Strong leadership team,False
2024-11-19T04:24:53.270079Z,66,False,False,False,Innovative approach with solid execution,840413,933581,404860,4.0,83,28,40,Strong leadership team,False,4.8,4.8,2,2,4.8,4.8,Strong leadership team,False
2024-11-22T04:24:53.270100Z,75,False,True,False,Innovative approach with solid execution,641405,682795,799380,3.8,98,29,40,Strong leadership team,False,4.7,4.0,2,2,4.7,4.0,Strong leadership team,False
2024-11-14T04:24:53.270118Z,65,False,False,False,Promising startup with clear vision,724607,775034,759806,3.1,67,27,40,Experienced and innovative group,False,4.4,4.2,2,2,4.4,4.2,Experienced and innovative group,False
2024-11-22T04:24:53.270138Z,74,False,False,False,Strong potential with innovative solution,230316,591209,594227,4.7,71,27,40,Strong leadership team,False,3.3,3.4,2,2,3.3,3.4,Strong leadership team,False
2024-12-09T04:24:53.270154Z,82,False,False,True,Demonstrating significant market potential,111494,134183,836224,4.1,70,25,40,Solid team with diverse skills,False,4.2,3.2,2,2,4.2,3.2,Solid team with diverse skills,False
2024-11-25T04:24:53.270171Z,81,True,False,True,Demonstrating significant market potential,355772,447678,831799,4.0,61,28,40,Promising team with growth potential,False,4.0,3.2,2,2,4.0,3.2,Promising team with growth potential,False
2024-11-14T04:24:53.270190Z,87,False,True,True,Demonstrating significant market potential,639277,646205,713343,4.8,91,25,40,Solid team with diverse skills,False,4.2,3.8,2,2,4.2,3.8,Solid team with diverse skills,False
2024-11-23T04:24:53.270208Z,74,False,False,False,Strong potential with innovative solution,733927,206378,508114,3.7,88,22,40,Strong leadership team,False,4.0,4.2,2,2,4.0,4.2,Strong leadership team,False
2024-11-24T04:24:53.270229Z,86,False,True,True,Innovative approach with solid execution,884127,513007,170281,3.8,71,34,40,Experienced and innovative group,False,3.3,5.0,2,2,3.3,5.0,Experienced and innovative group,False
2024-11-14T04:24:53.270248Z,61,False,False,False,Demonstrating significant market potential,300581,841230,517627,4.0,86,34,40,Strong leadership team,False,4.9,4.4,2,2,4.9,4.4,Strong leadership team,False
2024-12-08T04:24:53.270266Z,67,True,False,False,Promising startup with clear vision,996772,908338,401828,4.5,94,32,40,Promising team with growth potential,False,4.6,3.1,2,2,4.6,3.1,Promising team with growth potential,False
2024-11-25T04:24:53.270280Z,67,False,True,False,Strong potential with innovative solution,512794,223640,906709,4.2,65,29,40,Experienced and innovative group,False,3.1,3.5,2,2,3.1,3.5,Experienced and innovative group,False
2024-11-27T04:24:53.270296Z,92,False,True,True,Strong potential with innovative solution,863921,434177,348165,4.9,92,21,40,Solid team with diverse skills,False,4.5,4.4,2,2,4.5,4.4,Solid team with diverse skills,False
2024-12-10T04:24:53.270311Z,80,True,True,False,Promising startup with clear vision,385602,749738,214786,3.2,96,35,40,Solid team with diverse skills,False,4.2,3.5,2,2,4.2,3.5,Solid team with diverse skills,False
2024-12-01T04:24:53.270329Z,81,True,True,True,Demonstrating significant market potential,686209,827590,467246,4.0,93,21,40,Experienced and innovative group,False,4.1,3.8,2,2,4.1,3.8,Experienced and innovative group,False
2024-11-26T04:24:53.270344Z,83,False,True,True,Innovative approach with solid execution,697833,725742,553889,3.9,91,22,40,Strong leadership team,False,3.1,4.4,2,2,3.1,4.4,Strong leadership team,False
2024-11-13T04:24:53.270357Z,86,False,True,True,Promising startup with clear vision,674272,436083,262960,3.1,79,29,40,Strong leadership team,False,4.0,4.1,2,2,4.0,4.1,Strong leadership team,False
